"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Odubel Herrera","PHI",".345","1.27","21.3%","44.1%","34.7%","8.8%","10.2%","14","8.0%","5","71.4%","30.8%","38.1%","31.1%","24.4%","46.3%","29.4%","11476"
"Alex Bregman","HOU",".311","0.96","21.7%","38.4%","39.9%","16.7%","10.2%","9","5.0%","0","0.0%","42.6%","37.3%","20.1%","18.0%","49.0%","33.0%","17678"
"Ian Kinsler","DET",".244","0.71","20.6%","32.9%","46.5%","14.4%","10.2%","4","2.6%","0","0.0%","38.9%","34.8%","26.2%","18.7%","44.3%","37.0%","6195"
"Miguel Montero","- - -",".254","1.00","15.7%","42.1%","42.1%","10.2%","10.2%","0","0.0%","0","0.0%","34.3%","40.7%","25.0%","17.1%","52.1%","30.7%","3364"
"Mookie Betts","BOS",".268","0.95","16.8%","40.4%","42.8%","14.8%","10.1%","23","10.3%","0","0.0%","44.4%","35.6%","20.0%","18.2%","46.0%","35.7%","13611"
"Gerardo Parra","COL",".343","1.55","22.9%","46.8%","30.3%","1.0%","10.1%","9","5.9%","3","42.9%","33.2%","37.1%","29.6%","14.4%","50.9%","34.7%","8553"
"Jason Kipnis","CLE",".256","0.82","19.6%","36.3%","44.1%","11.8%","10.1%","8","8.2%","0","0.0%","39.7%","33.1%","27.2%","22.1%","47.8%","30.1%","9776"
"Eduardo Nunez","- - -",".333","1.83","17.5%","53.4%","29.1%","11.7%","10.0%","23","10.5%","3","75.0%","41.1%","36.8%","22.1%","24.5%","48.8%","26.7%","6848"
"Josh Harrison","PIT",".303","0.89","22.7%","36.5%","40.8%","6.3%","10.0%","11","7.7%","4","44.4%","43.9%","31.9%","24.2%","18.7%","48.9%","32.4%","8202"
"Chase Headley","NYY",".341","1.37","24.9%","43.5%","31.7%","6.6%","9.9%","11","6.6%","4","80.0%","38.2%","33.3%","28.4%","17.1%","53.0%","30.0%","4720"
"Trea Turner","WSN",".329","1.54","14.8%","51.7%","33.5%","4.5%","9.9%","22","12.9%","1","50.0%","39.3%","37.8%","22.8%","18.0%","55.3%","26.7%","16252"
"Brandon Crawford","SFG",".293","1.35","19.4%","46.2%","34.4%","7.0%","9.9%","7","3.7%","0","0.0%","38.9%","33.1%","28.0%","19.3%","48.1%","32.6%","5343"
"Starling Marte","PIT",".324","1.65","21.0%","49.2%","29.8%","9.9%","9.9%","14","12.0%","6","60.0%","36.3%","33.9%","29.8%","29.0%","44.8%","26.2%","9241"
"Ben Zobrist","CHC",".251","1.53","15.6%","51.1%","33.3%","8.2%","9.8%","9","4.8%","0","0.0%","49.9%","32.5%","17.6%","14.9%","52.8%","32.2%","7435"
"Yunel Escobar","LAA",".305","2.42","17.7%","58.2%","24.1%","2.8%","9.7%","12","6.9%","0","0.0%","37.1%","40.8%","22.1%","14.7%","54.8%","30.4%","4191"
"Asdrubal Cabrera","NYM",".310","1.20","20.4%","43.5%","36.2%","6.3%","9.7%","13","7.5%","1","25.0%","46.3%","34.3%","19.4%","17.2%","46.0%","36.8%","4962"
"Adeiny Hechavarria","- - -",".304","1.53","19.5%","48.7%","31.8%","10.8%","9.6%","5","3.9%","2","33.3%","39.0%","30.0%","31.1%","17.6%","46.4%","36.0%","10459"
"Daniel Nava","PHI",".357","1.52","27.9%","43.5%","28.6%","2.4%","9.5%","0","0.0%","0","0.0%","44.2%","28.6%","27.2%","12.9%","53.1%","34.0%","5450"
"Michael Saunders","- - -",".242","1.16","16.6%","44.8%","38.7%","14.3%","9.5%","4","5.5%","0","0.0%","43.6%","36.8%","19.6%","23.9%","47.9%","28.2%","9981"
"Jean Segura","SEA",".339","2.06","19.3%","54.3%","26.4%","3.4%","9.5%","21","8.8%","1","50.0%","29.9%","42.3%","27.8%","19.7%","52.0%","28.3%","5933"
"Taylor Motter","SEA",".232","1.11","20.4%","41.8%","37.8%","8.1%","9.5%","6","7.3%","0","0.0%","54.3%","27.9%","17.8%","18.8%","50.3%","31.0%","12399"
"Yolmer Sanchez","CHW",".321","1.31","21.6%","44.5%","33.9%","6.3%","9.4%","10","6.0%","3","33.3%","33.3%","36.7%","29.9%","19.3%","56.8%","24.0%","11602"
"Daniel Robertson","TBR",".282","1.26","17.8%","45.9%","36.3%","15.1%","9.4%","4","6.0%","0","0.0%","29.7%","44.6%","25.7%","18.9%","47.3%","33.8%","14145"
"Manuel Margot","SDP",".309","1.12","23.2%","40.5%","36.3%","9.4%","9.4%","18","11.7%","2","33.3%","27.7%","40.4%","31.9%","25.9%","48.7%","25.4%","14712"
"Whit Merrifield","KCR",".308","0.93","21.8%","37.7%","40.5%","7.4%","9.4%","21","11.2%","4","50.0%","33.5%","35.7%","30.8%","15.4%","54.0%","30.6%","11281"
"Lorenzo Cain","KCR",".340","1.35","22.6%","44.4%","32.9%","9.4%","9.4%","21","9.7%","0","0.0%","31.1%","40.5%","28.4%","18.7%","50.2%","31.1%","9077"
"Carlos Beltran","HOU",".263","1.07","16.4%","43.1%","40.4%","8.7%","9.3%","18","11.3%","0","0.0%","47.7%","31.0%","21.3%","17.5%","48.8%","33.7%","589"
"Sandy Leon","BOS",".280","0.96","25.4%","36.5%","38.1%","18.7%","9.3%","3","4.2%","3","75.0%","37.8%","34.8%","27.4%","24.4%","45.8%","29.9%","5273"
"Cesar Hernandez","PHI",".353","2.14","22.6%","52.8%","24.6%","3.1%","9.3%","27","13.0%","9","64.3%","35.8%","37.7%","26.5%","23.5%","54.4%","22.1%","10556"
"Francisco Cervelli","PIT",".311","1.93","20.6%","52.3%","27.1%","3.7%","9.3%","5","4.8%","1","50.0%","42.3%","31.8%","25.9%","12.9%","54.2%","32.8%","5275"
"Brandon Phillips","- - -",".308","1.75","22.2%","49.5%","28.3%","9.9%","9.2%","13","5.3%","1","33.3%","33.1%","33.9%","33.1%","21.7%","52.8%","25.5%","791"
"Marcus Semien","OAK",".300","0.89","20.5%","37.5%","42.1%","10.1%","9.2%","7","7.2%","0","0.0%","43.3%","33.7%","23.0%","16.5%","53.3%","30.3%","12533"
"Jason Heyward","CHC",".284","1.45","19.9%","47.4%","32.7%","18.3%","9.2%","11","6.3%","0","0.0%","46.3%","33.9%","19.8%","25.7%","48.8%","25.5%","4940"
"Gregory Polanco","PIT",".272","1.13","20.3%","42.2%","37.5%","10.0%","9.2%","8","5.9%","0","0.0%","44.1%","30.6%","25.3%","22.8%","51.3%","25.9%","12907"
"Danny Espinosa","- - -",".261","0.97","13.9%","42.4%","43.7%","13.6%","9.1%","4","6.3%","3","33.3%","49.4%","34.4%","16.3%","24.4%","43.8%","31.9%","9219"
"Daniel Descalso","ARI",".283","0.90","17.9%","38.9%","43.2%","6.3%","9.0%","2","2.0%","0","0.0%","43.6%","34.6%","21.8%","16.0%","47.1%","37.0%","8392"
"Erick Aybar","SDP",".262","1.81","19.8%","51.6%","28.6%","11.5%","9.0%","11","7.8%","4","50.0%","44.1%","26.0%","29.9%","22.8%","55.5%","21.7%","4082"
"Tyler Moore","MIA",".287","0.73","14.1%","36.3%","49.6%","7.5%","9.0%","3","6.1%","0","0.0%","46.3%","27.9%","25.7%","13.2%","53.7%","33.1%","7244"
"Kevin Pillar","TOR",".280","1.18","20.4%","43.1%","36.4%","13.9%","8.9%","14","6.6%","0","0.0%","40.2%","34.9%","24.9%","22.5%","50.2%","27.3%","12434"
"Victor Martinez","DET",".280","1.23","23.6%","42.1%","34.2%","6.2%","8.8%","2","1.4%","1","100.0%","42.6%","30.5%","26.9%","12.4%","47.7%","39.9%","393"
"Adam Rosales","- - -",".312","0.84","22.2%","35.4%","42.3%","11.3%","8.8%","7","10.4%","2","25.0%","41.6%","34.0%","24.4%","16.2%","53.3%","30.5%","9682"
