"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Jake Fraley","CIN","247","164","85.1","110.0","13.8","12","7.3%","45","27.4%",".259",".248",".468",".417",".352",".333","19260"
"J.P. Crawford","SEA","603","445","85.1","109.3","8.9","9","2.0%","130","29.2%",".243",".255",".336",".337",".306",".315","15491"
"Adam Frazier","SEA","602","478","85.1","105.1","13.6","7","1.5%","114","23.8%",".238",".262",".311",".339",".274",".297","15223"
"Jonathan India","CIN","431","292","85.1","111.3","14.5","14","4.8%","84","28.8%",".249",".238",".378",".353",".314",".301","21523"
"Steven Kwan","CLE","638","509","85.1","107.1","11.8","7","1.4%","106","20.8%",".298",".268",".400",".341",".341",".312","24610"
"Akil Baddoo","DET","225","137","85.0","108.5","14.2","5","3.6%","37","27.0%",".204",".192",".269",".270",".256",".253","22168"
"Geraldo Perdomo","ARI","500","342","85.0","104.7","12.1","7","2.0%","85","24.9%",".195",".213",".262",".282",".253",".269","22799"
"Nicky Lopez","KCR","480","384","84.9","106.7","4.9","6","1.6%","86","22.4%",".227",".243",".273",".312",".251",".273","19339"
"Cesar Hernandez","WSN","617","451","84.8","110.8","9.3","11","2.4%","134","29.7%",".248",".248",".318",".329",".283",".290","10556"
"Willi Castro","DET","392","287","84.8","111.7","13.7","10","3.5%","89","31.0%",".241",".261",".367",".339",".285",".290","17338"
"Yonathan Daza","COL","408","320","84.8","106.0","4.6","6","1.9%","80","25.0%",".301",".282",".384",".351",".323",".308","15794"
"Robinson Chirinos","BAL","220","130","84.8","107.6","17.6","9","6.9%","43","33.1%",".179",".168",".287",".281",".251",".245","3142"
"Omar Narvaez","MIL","296","207","84.7","106.4","17.7","5","2.4%","38","18.4%",".206",".207",".305",".293",".269",".268","13338"
"Mauricio Dubon","- - -","265","221","84.7","107.6","16.7","5","2.3%","66","29.9%",".214",".240",".313",".331",".248",".272","16530"
"Yadier Molina","STL","270","223","84.7","107.8","16.9","7","3.1%","58","26.0%",".214",".230",".302",".328",".235",".254","7007"
"Victor Robles","WSN","407","277","84.6","109.7","15.8","9","3.2%","66","23.8%",".224",".203",".311",".280",".260",".244","18363"
"Didi Gregorius","PHI","232","180","84.5","106.5","15.8","5","2.8%","41","22.8%",".210",".237",".304",".327",".251",".275","6012"
"Tucker Barnhart","DET","308","208","84.5","105.2","10.1","4","1.9%","53","25.5%",".221",".201",".267",".264",".253",".244","10200"
"Luke Maile","CLE","206","130","84.5","106.5","17.0","7","5.4%","33","25.4%",".221",".194",".326",".301",".281",".263","13355"
"Brian Serven","COL","205","146","84.5","105.8","12.5","4","2.7%","42","28.8%",".203",".212",".332",".291",".263",".254","19422"
"Tony Kemp","OAK","558","436","84.4","103.2","15.0","7","1.6%","65","14.9%",".235",".219",".334",".291",".287",".267","14894"
"Austin Hedges","CLE","338","229","84.2","107.1","16.7","7","3.1%","51","22.3%",".163",".183",".248",".264",".225",".240","12976"
"Albert Almora Jr.","CIN","235","171","84.0","108.6","6.7","3","1.8%","43","25.1%",".223",".233",".349",".307",".279",".270","14109"
"Nick Allen","OAK","326","242","83.9","104.6","7.6","3","1.2%","54","22.3%",".207",".210",".291",".266",".245",".238","22277"
"Jose Iglesias","COL","467","386","83.8","109.9","6.0","2","0.5%","106","27.5%",".292",".266",".380",".323",".312",".281","10231"
"Harrison Bader","- - -","313","232","83.4","109.6","16.7","8","3.4%","61","26.3%",".250",".234",".356",".321",".286",".270","18030"
"David Fletcher","LAA","228","202","82.1","99.0","15.0","0","0.0%","14","6.9%",".255",".285",".333",".344",".275",".295","17992"
